invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,invoiceyear,invoicemonth,totalcost
581426,70006,LOVE HEART POCKET WARMER,4,2011-12-08 15:31:00,0.79,17757.0,United Kingdom,2011,12,3.16
575982,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,2011-11-13 13:42:00,0.72,13798.0,United Kingdom,2011,11,69.12
C553530,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,1,2011-05-17 15:08:00,3.81,13777.0,United Kingdom,2011,5,3.81
566495,23391, I LOVE LONDON MINI BACKPACK,2,2011-09-13 11:14:00,4.15,15529.0,United Kingdom,2011,9,8.3
570228,23397,FOOT STOOL HOME SWEET HOME ,1,2011-10-09 13:28:00,9.95,15821.0,United Kingdom,2011,10,9.95
543111,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-02-03 12:44:00,2.95,15719.0,United Kingdom,2011,2,17.700000000000003
537793,85099F,JUMBO BAG STRAWBERRY,100,2010-12-08 12:57:00,1.65,15032.0,United Kingdom,2010,12,165.0
548911,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,2011-04-05 09:09:00,2.95,12951.0,United Kingdom,2011,4,17.700000000000003
560234,22383,LUNCH BAG SUKI DESIGN ,40,2011-07-17 11:21:00,1.65,16180.0,United Kingdom,2011,7,66.0
556203,22492,MINI PAINT SET VINTAGE ,108,2011-06-09 13:09:00,0.65,12399.0,Belgium,2011,6,70.2
575303,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-11-09 12:34:00,1.65,12893.0,United Kingdom,2011,11,1.65
572295,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-10-23 13:49:00,1.65,16686.0,United Kingdom,2011,10,3.3
574532,22306,SILVER MUG BONE CHINA TREE OF LIFE,12,2011-11-04 14:19:00,1.06,15676.0,United Kingdom,2011,11,12.72
547651,84457,SET/3 RABBITS FLOWER SKIPPPING ROPE,1,2011-03-24 12:11:00,0.85,16904.0,United Kingdom,2011,3,0.85
554268,22427,ENAMEL FLOWER JUG CREAM,1,2011-05-23 12:59:00,5.95,15311.0,United Kingdom,2011,5,5.95
546950,21735,TWO DOOR CURIO CABINET,2,2011-03-18 11:24:00,12.75,16511.0,United Kingdom,2011,3,25.5
541816,20717,STRAWBERRY SHOPPER BAG,3,2011-01-21 15:56:00,1.25,17799.0,United Kingdom,2011,1,3.75
579187,90130D,RED STONE/CRYSTAL EARRINGS,1,2011-11-28 15:31:00,2.9,Unknown,United Kingdom,2011,11,2.9
553766,47566b,TEA TIME PARTY BUNTING,4,2011-05-19 10:44:00,8.29,Unknown,United Kingdom,2011,5,33.16
549836,22918,HERB MARKER PARSLEY,5,2011-04-12 13:32:00,0.65,16814.0,United Kingdom,2011,4,3.25
550203,22195,LARGE HEART MEASURING SPOONS,1,2011-04-15 10:37:00,3.29,Unknown,United Kingdom,2011,4,3.29
569700,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-10-05 15:56:00,5.79,Unknown,United Kingdom,2011,10,5.79
C563225,D,Discount,1,2011-08-14 14:35:00,434.51,14911.0,EIRE,2011,8,434.51
554009,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-05-20 12:38:00,1.25,12935.0,United Kingdom,2011,5,15.0
540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450.0,United Kingdom,2011,1,4121.64
571837,22545,MINI JIGSAW BUNNIES,3,2011-10-19 12:11:00,0.42,16470.0,United Kingdom,2011,10,1.26
544089,15056N,EDWARDIAN PARASOL NATURAL,3,2011-02-15 17:51:00,5.95,Unknown,United Kingdom,2011,2,17.85
562024,84568,GIRLS ALPHABET IRON ON PATCHES ,22,2011-08-01 16:07:00,0.42,Unknown,United Kingdom,2011,8,9.24
570388,23399,HOME SWEET HOME HANGING HEART,12,2011-10-10 12:37:00,0.85,14911.0,EIRE,2011,10,10.2
555647,22840,ROUND CAKE TIN VINTAGE RED,2,2011-06-06 13:43:00,7.95,12957.0,United Kingdom,2011,6,15.9
558540,22437,SET OF 9 BLACK SKULL BALLOONS,20,2011-06-30 12:15:00,0.85,17706.0,United Kingdom,2011,6,17.0
569223,23281,FOLDING BUTTERFLY MIRROR RED  ,4,2011-10-02 13:49:00,0.83,16283.0,United Kingdom,2011,10,3.32
536597,72818,CHRISTMAS DECOUPAGE CANDLE,4,2010-12-01 17:35:00,0.85,18011.0,United Kingdom,2010,12,3.4
554489,21890,S/6 WOODEN SKITTLES IN COTTON BAG,12,2011-05-24 13:46:00,3.25,17272.0,United Kingdom,2011,5,39.0
553658,21770,OPEN CLOSED METAL SIGN,2,2011-05-18 11:42:00,4.95,16818.0,United Kingdom,2011,5,9.9
567368,22468,BABUSHKA LIGHTS STRING OF 10,2,2011-09-20 08:23:00,6.75,17147.0,United Kingdom,2011,9,13.5
553576,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2011-05-18 10:29:00,1.79,14282.0,United Kingdom,2011,5,179.0
548162,22624,IVORY KITCHEN SCALES,1,2011-03-29 13:42:00,16.63,Unknown,United Kingdom,2011,3,16.63
550496,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,2,2011-04-18 15:05:00,2.46,Unknown,United Kingdom,2011,4,4.92
577152,22949,36 DOILIES DOLLY GIRL,12,2011-11-18 09:53:00,1.45,14277.0,France,2011,11,17.4
572241,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-10-21 15:20:00,4.25,12712.0,Germany,2011,10,17.0
567526,20713,JUMBO BAG OWLS,100,2011-09-21 09:06:00,1.79,12435.0,Denmark,2011,9,179.0
546541,22766,PHOTO FRAME CORNICE,8,2011-03-14 15:11:00,2.95,14911.0,EIRE,2011,3,23.6
542927,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-02-02 10:06:00,2.95,18198.0,United Kingdom,2011,2,17.700000000000003
575039,23503,PLAYING CARDS KEEP CALM & CARRY ON,5,2011-11-08 11:53:00,1.25,15005.0,United Kingdom,2011,11,6.25
553879,22652,TRAVEL SEWING KIT,10,2011-05-19 15:15:00,1.65,15791.0,United Kingdom,2011,5,16.5
555844,37413,ICON MUG REVOLUTIONARY,6,2011-06-07 13:10:00,0.39,14711.0,United Kingdom,2011,6,2.34
559693,21578,WOODLAND DESIGN  COTTON TOTE BAG,3,2011-07-11 16:21:00,1.63,Unknown,United Kingdom,2011,7,4.89
571046,22629,SPACEBOY LUNCH BOX ,2,2011-10-13 13:35:00,1.95,18096.0,United Kingdom,2011,10,3.9
571439,23517,EMBROIDERED RIBBON REEL REBECCA ,12,2011-10-17 13:25:00,2.89,17206.0,United Kingdom,2011,10,34.68
542601,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2011-01-30 11:52:00,7.95,16897.0,United Kingdom,2011,1,7.95
561073,71459,HANGING JAM JAR T-LIGHT HOLDER,96,2011-07-24 15:46:00,0.72,13408.0,United Kingdom,2011,7,69.12
539958,21205,MULTICOLOUR 3D BALLS GARLAND,2,2010-12-23 13:26:00,2.51,Unknown,United Kingdom,2010,12,5.02
542708,22934,BAKING MOULD EASTER EGG WHITE CHOC,48,2011-01-31 13:07:00,2.55,17621.0,United Kingdom,2011,1,122.4
573300,21154,RED RETROSPOT OVEN GLOVE ,4,2011-10-28 16:10:00,1.25,16049.0,United Kingdom,2011,10,5.0
554929,20981,12 PENCILS TALL TUBE WOODLAND,12,2011-05-27 13:16:00,0.85,13018.0,United Kingdom,2011,5,10.2
551986,47566B,TEA TIME PARTY BUNTING,2,2011-05-05 14:41:00,4.95,13888.0,United Kingdom,2011,5,9.9
566981,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-09-16 10:02:00,2.08,15498.0,United Kingdom,2011,9,20.8
556882,22435,SET OF 9 HEART SHAPED BALLOONS,5,2011-06-15 12:21:00,1.25,14395.0,United Kingdom,2011,6,6.25
571266,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-10-16 11:41:00,4.95,17769.0,United Kingdom,2011,10,14.85
577309,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,2011-11-18 13:14:00,0.83,15933.0,United Kingdom,2011,11,13.28
577520,84006,MAGIC TREE -PAPER FLOWERS,9,2011-11-20 13:20:00,0.85,14553.0,United Kingdom,2011,11,7.649999999999999
542932,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-02-02 10:54:00,0.85,13089.0,United Kingdom,2011,2,10.2
569216,23002,TRAVEL CARD WALLET SKULLS,5,2011-10-02 12:41:00,0.42,15555.0,United Kingdom,2011,10,2.1
550213,21911,GARDEN METAL SIGN ,1,2011-04-15 10:42:00,3.29,Unknown,United Kingdom,2011,4,3.29
552469,22817,CARD SUKI BIRTHDAY,12,2011-05-09 15:34:00,0.42,12867.0,United Kingdom,2011,5,5.04
538351,21212,PACK OF 72 RETROSPOT CAKE CASES,113,2010-12-10 15:17:00,2.13,Unknown,United Kingdom,2010,12,240.69
565118,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,2011-09-01 11:33:00,3.39,15039.0,United Kingdom,2011,9,81.36
569677,23103,JINGLE BELL HEART DECORATION,24,2011-10-05 14:14:00,1.65,15106.0,United Kingdom,2011,10,39.6
569846,23000,TRAVEL CARD WALLET TRANSPORT,24,2011-10-06 13:42:00,0.42,13422.0,United Kingdom,2011,10,10.08
545301,22431,WATERING CAN BLUE ELEPHANT,8,2011-03-01 12:26:00,1.95,12679.0,France,2011,3,15.6
569129,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,2011-09-30 13:40:00,0.65,15034.0,United Kingdom,2011,9,7.800000000000001
560580,23200,JUMBO BAG PEARS,50,2011-07-19 15:23:00,1.79,14088.0,United Kingdom,2011,7,89.5
573548,23460,SWEETHEART WALL TIDY ,2,2011-10-31 13:22:00,9.95,13680.0,United Kingdom,2011,10,19.9
539708,90013B,BLACK VINTAGE EARRINGS,1,2010-12-21 12:18:00,4.24,Unknown,United Kingdom,2010,12,4.24
578666,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-11-24 17:06:00,1.25,17727.0,United Kingdom,2011,11,15.0
561037,23287,RED VINTAGE SPOT BEAKER,8,2011-07-24 11:55:00,0.85,12472.0,Germany,2011,7,6.8
575138,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,2011-11-08 15:24:00,4.13,Unknown,United Kingdom,2011,11,20.65
573102,23290,SPACEBOY CHILDRENS BOWL,8,2011-10-27 14:52:00,1.25,13266.0,United Kingdom,2011,10,10.0
573585,21408,SPOTTY PINK DUCK DOORSTOP,1,2011-10-31 14:41:00,8.29,Unknown,United Kingdom,2011,10,8.29
568203,23407,SET OF 2 TRAYS HOME SWEET HOME,4,2011-09-25 15:15:00,9.95,13435.0,United Kingdom,2011,9,39.8
538866,22654,DELUXE SEWING KIT ,4,2010-12-14 14:40:00,5.95,17841.0,United Kingdom,2010,12,23.8
561645,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,200,2011-07-28 15:16:00,2.55,14911.0,EIRE,2011,7,510.0
544835,85066,CREAM SWEETHEART MINI CHEST,2,2011-02-24 10:15:00,12.75,17830.0,United Kingdom,2011,2,25.5
554067,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,2011-05-22 10:47:00,3.25,18150.0,United Kingdom,2011,5,19.5
578666,23231,WRAP  VINTAGE DOILY ,25,2011-11-24 17:06:00,0.42,17727.0,United Kingdom,2011,11,10.5
559018,20793,BLUE TILED TRAY,1,2011-07-05 13:07:00,6.75,18203.0,United Kingdom,2011,7,6.75
575954,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,12,2011-11-13 12:03:00,0.29,17211.0,United Kingdom,2011,11,3.4799999999999995
541993,85175,CACTI T-LIGHT CANDLES,2,2011-01-25 09:37:00,13.29,Unknown,United Kingdom,2011,1,26.58
550987,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2011-04-21 18:10:00,5.79,Unknown,United Kingdom,2011,4,5.79
575603,23263,SET OF 3 WOODEN HEART DECORATIONS,2,2011-11-10 12:29:00,1.25,18125.0,United Kingdom,2011,11,2.5
541672,22727,ALARM CLOCK BAKELIKE RED ,8,2011-01-20 13:02:00,3.75,14735.0,United Kingdom,2011,1,30.0
567613,15060B,FAIRY CAKE DESIGN UMBRELLA,4,2011-09-21 11:49:00,3.75,13908.0,United Kingdom,2011,9,15.0
563262,21424,WOODLAND STORAGE BOX LARGE ,1,2011-08-15 12:44:00,2.95,15311.0,United Kingdom,2011,8,2.95
544836,21136,PAINTED METAL PEARS ASSORTED,16,2011-02-24 10:25:00,1.69,17613.0,United Kingdom,2011,2,27.04
573576,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,2011-10-31 14:09:00,3.29,14096.0,United Kingdom,2011,10,3.29
580730,22474,SPACEBOY TV DINNER TRAY,1,2011-12-05 17:28:00,10.79,Unknown,United Kingdom,2011,12,10.79
573108,22544,MINI JIGSAW SPACEBOY,24,2011-10-27 15:09:00,0.42,12430.0,Norway,2011,10,10.08
553162,85131D,BEADED CRYSTAL HEART PINK ON STICK,4,2011-05-13 15:53:00,0.83,Unknown,United Kingdom,2011,5,3.32
547786,20676,RED RETROSPOT BOWL,4,2011-03-25 11:44:00,1.25,14587.0,United Kingdom,2011,3,5.0
562670,20998,ROSE DU SUD OVEN GLOVE,6,2011-08-08 13:42:00,2.95,14911.0,EIRE,2011,8,17.700000000000003
575875,90164A,PINK ROSEBUD PEARL BRACELET,1,2011-11-11 13:06:00,7.48,Unknown,United Kingdom,2011,11,7.48
539240,84823,DANISH ROSE FOLDING CHAIR,2,2010-12-16 13:15:00,7.95,15194.0,United Kingdom,2010,12,15.9
578074,23215,JINGLE BELL HEART ANTIQUE SILVER,4,2011-11-22 16:06:00,2.08,17590.0,United Kingdom,2011,11,8.32
560828,16161G,WRAP BAD HAIR DAY,50,2011-07-21 11:55:00,0.1,14298.0,United Kingdom,2011,7,5.0
563848,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-08-19 14:57:00,1.65,14911.0,EIRE,2011,8,9.9
571036,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,12,2011-10-13 12:52:00,0.85,17567.0,United Kingdom,2011,10,10.2
578243,21485,RETROSPOT HEART HOT WATER BOTTLE,12,2011-11-23 12:33:00,4.95,13448.0,United Kingdom,2011,11,59.400000000000006
551809,21232,STRAWBERRY CERAMIC TRINKET BOX,72,2011-05-04 11:32:00,1.06,17511.0,United Kingdom,2011,5,76.32000000000001
565324,22727,ALARM CLOCK BAKELIKE RED ,1,2011-09-02 13:18:00,3.75,13232.0,United Kingdom,2011,9,3.75
560554,47566B,TEA TIME PARTY BUNTING,9,2011-07-19 13:01:00,4.95,16232.0,United Kingdom,2011,7,44.55
576857,22555,PLASTERS IN TIN STRONGMAN,1,2011-11-16 15:52:00,1.65,12748.0,United Kingdom,2011,11,1.65
577485,22113,GREY HEART HOT WATER BOTTLE,2,2011-11-20 11:56:00,4.25,16360.0,United Kingdom,2011,11,8.5
537176,22555,PLASTERS IN TIN STRONGMAN,6,2010-12-05 13:26:00,1.65,16411.0,United Kingdom,2010,12,9.9
548449,21531,RED RETROSPOT SUGAR JAM BOWL,6,2011-03-31 11:08:00,2.55,14911.0,EIRE,2011,3,15.3
570672,22133,PINK LOVE HEART SHAPE CUP,12,2011-10-11 14:52:00,0.85,12536.0,France,2011,10,10.2
577024,23313,VINTAGE CHRISTMAS BUNTING,1,2011-11-17 12:47:00,4.95,14704.0,United Kingdom,2011,11,4.95
560145,23014,GLASS APOTHECARY BOTTLE ELIXIR,4,2011-07-15 11:04:00,3.95,13381.0,United Kingdom,2011,7,15.8
577057,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,5,2011-11-17 14:26:00,0.29,12748.0,United Kingdom,2011,11,1.45
575331,23201,JUMBO BAG ALPHABET,10,2011-11-09 13:52:00,2.08,13209.0,United Kingdom,2011,11,20.8
573665,23497,CLASSIC CHROME BICYCLE BELL ,2,2011-10-31 16:24:00,1.45,13982.0,United Kingdom,2011,10,2.9
536561,22865,HAND WARMER OWL DESIGN,12,2010-12-01 15:06:00,2.1,12921.0,United Kingdom,2010,12,25.200000000000003
573876,21058,PARTY INVITES WOODLAND,1,2011-11-01 12:48:00,0.85,16360.0,United Kingdom,2011,11,0.85
571735,22456,NATURAL SLATE CHALKBOARD LARGE ,18,2011-10-19 10:03:00,4.25,14229.0,United Kingdom,2011,10,76.5
552576,23202,JUMBO BAG VINTAGE LEAF,10,2011-05-10 12:26:00,2.08,13242.0,United Kingdom,2011,5,20.8
545063,21161,KEEP OUT BOYS DOOR HANGER ,1,2011-02-27 14:26:00,1.45,14606.0,United Kingdom,2011,2,1.45
576601,23332,IVORY WICKER HEART LARGE,1,2011-11-15 15:10:00,1.65,14595.0,United Kingdom,2011,11,1.65
553721,22727,ALARM CLOCK BAKELIKE RED ,6,2011-05-18 16:37:00,3.75,16570.0,United Kingdom,2011,5,22.5
581068,23232,WRAP VINTAGE LEAF DESIGN,25,2011-12-07 11:26:00,0.42,16191.0,United Kingdom,2011,12,10.5
577473,22553,PLASTERS IN TIN SKULLS,1,2011-11-20 11:28:00,1.65,15919.0,United Kingdom,2011,11,1.65
580879,20718,RED RETROSPOT SHOPPER BAG,2,2011-12-06 12:18:00,1.25,17346.0,United Kingdom,2011,12,2.5
574528,22470,HEART OF WICKER LARGE,6,2011-11-04 14:03:00,2.95,16782.0,United Kingdom,2011,11,17.700000000000003
562444,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-08-04 18:44:00,7.95,14713.0,United Kingdom,2011,8,15.9
575787,23368,SET 12 COLOUR PENCILS DOLLY GIRL ,16,2011-11-11 11:18:00,0.65,12518.0,Germany,2011,11,10.4
C549666,85064,CREAM SWEETHEART LETTER RACK,1,2011-04-11 12:17:00,4.65,13113.0,United Kingdom,2011,4,4.65
581492,22819,"BIRTHDAY CARD, RETRO SPOT",3,2011-12-09 10:03:00,0.42,Unknown,United Kingdom,2011,12,1.26
539502,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2,2010-12-20 11:14:00,4.95,14099.0,United Kingdom,2010,12,9.9
579538,23504,PLAYING CARDS JUBILEE UNION JACK,24,2011-11-30 10:04:00,1.25,14062.0,United Kingdom,2011,11,30.0
579196,23167,SMALL CERAMIC TOP STORAGE JAR ,4,2011-11-28 15:54:00,1.63,14096.0,United Kingdom,2011,11,6.52
563846,22729,ALARM CLOCK BAKELIKE ORANGE,18,2011-08-19 14:43:00,3.75,16672.0,United Kingdom,2011,8,67.5
547879,15044C,PURPLE PAPER PARASOL,12,2011-03-27 16:03:00,2.95,12877.0,United Kingdom,2011,3,35.400000000000006
542115,22719,GUMBALL MONOCHROME COAT RACK,2,2011-01-25 14:01:00,2.46,Unknown,United Kingdom,2011,1,4.92
563845,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2011-08-19 14:39:00,2.95,12991.0,United Kingdom,2011,8,17.700000000000003
577030,22900,SET 2 TEA TOWELS I LOVE LONDON ,12,2011-11-17 12:59:00,3.25,14060.0,United Kingdom,2011,11,39.0
573397,23489,VINTAGE BELLS GARLAND,2,2011-10-30 15:19:00,2.89,15547.0,United Kingdom,2011,10,5.78
547095,16161P,WRAP ENGLISH ROSE ,25,2011-03-21 09:03:00,0.42,13018.0,United Kingdom,2011,3,10.5
549974,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-04-13 14:31:00,9.95,17746.0,United Kingdom,2011,4,9.95
553402,22440,BALLOON WATER BOMB PACK OF 35,2,2011-05-16 17:13:00,0.42,17898.0,United Kingdom,2011,5,0.84
574310,21395,BLUE POLKADOT BEAKER ,2,2011-11-03 16:56:00,0.39,13467.0,United Kingdom,2011,11,0.78
538071,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,2010-12-09 14:09:00,4.21,Unknown,United Kingdom,2010,12,8.42
578275,85035C,ROSE 3 WICK MORRIS BOX CANDLE,2,2011-11-23 13:46:00,1.25,15916.0,United Kingdom,2011,11,2.5
558358,21429,RED GINGHAM ROSE JEWELLERY BOX,1,2011-06-28 15:05:00,1.95,17965.0,United Kingdom,2011,6,1.95
562807,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-08-09 14:57:00,0.85,16053.0,United Kingdom,2011,8,8.5
569535,23412,HEART MIRROR ANTIQUE WHITE,2,2011-10-04 15:41:00,7.5,15044.0,United Kingdom,2011,10,15.0
569832,21803,CHRISTMAS TREE STAR DECORATION,36,2011-10-06 12:51:00,0.42,15315.0,United Kingdom,2011,10,15.12
537421,22530,MAGIC DRAWING SLATE DOLLY GIRL ,2,2010-12-06 15:25:00,0.42,17218.0,United Kingdom,2010,12,0.84
541516,21677,HEARTS  STICKERS,1,2011-01-18 17:34:00,0.79,Unknown,United Kingdom,2011,1,0.79
551161,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-04-26 15:26:00,2.95,18183.0,United Kingdom,2011,4,17.700000000000003
564346,22099,CARAVAN SQUARE TISSUE BOX,6,2011-08-24 14:54:00,0.39,15727.0,United Kingdom,2011,8,2.34
550210,21930,JUMBO STORAGE BAG SKULLS,1,2011-04-15 10:40:00,4.96,Unknown,United Kingdom,2011,4,4.96
538826,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2010-12-14 12:58:00,2.55,12370.0,Cyprus,2010,12,22.95
542610,22560,TRADITIONAL MODELLING CLAY,10,2011-01-30 14:05:00,1.25,13148.0,United Kingdom,2011,1,12.5
543631,21875,KINGS CHOICE MUG,6,2011-02-10 16:17:00,1.25,14081.0,United Kingdom,2011,2,7.5
550360,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-04-18 10:55:00,1.65,14978.0,United Kingdom,2011,4,3.3
571714,22470,HEART OF WICKER LARGE,1,2011-10-18 17:00:00,5.79,Unknown,United Kingdom,2011,10,5.79
536538,21690,SILVER  CANDLEPOT JARDIN ,4,2010-12-01 13:54:00,3.75,14594.0,United Kingdom,2010,12,15.0
548666,84925F,PSYCHEDELIC WALL THERMOMETER,6,2011-04-01 14:58:00,2.55,13124.0,United Kingdom,2011,4,15.3
550617,20725,LUNCH BAG RED RETROSPOT,10,2011-04-19 13:03:00,1.65,13376.0,United Kingdom,2011,4,16.5
547513,21086,SET/6 RED SPOTTY PAPER CUPS,48,2011-03-23 13:59:00,0.65,17519.0,United Kingdom,2011,3,31.200000000000003
557630,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2011-06-21 14:53:00,2.55,13178.0,United Kingdom,2011,6,15.3
559863,22435,SET OF 9 HEART SHAPED BALLOONS,4,2011-07-13 10:33:00,1.25,15039.0,United Kingdom,2011,7,5.0
544208,84378,SET OF 3 HEART COOKIE CUTTERS,1,2011-02-17 10:34:00,3.29,Unknown,United Kingdom,2011,2,3.29
538883,22309,TEA COSY RED  STRIPE,2,2010-12-14 15:56:00,5.06,Unknown,United Kingdom,2010,12,10.12
556473,21982,PACK OF 12 SUKI TISSUES ,6,2011-06-12 12:00:00,0.29,17265.0,United Kingdom,2011,6,1.7399999999999998
573368,22829,SWEETHEART WIRE WALL TIDY,2,2011-10-30 13:18:00,9.95,14507.0,United Kingdom,2011,10,19.9
540646,84949,SILVER HANGING T-LIGHT HOLDER,5,2011-01-10 14:32:00,3.36,Unknown,United Kingdom,2011,1,16.8
561627,22077,6 RIBBONS RUSTIC CHARM,12,2011-07-28 14:08:00,1.65,12453.0,Austria,2011,7,19.8
547374,22268,EASTER DECORATION SITTING BUNNY,1,2011-03-22 13:54:00,0.85,16110.0,United Kingdom,2011,3,0.85
579467,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2011-11-29 14:57:00,8.5,15755.0,United Kingdom,2011,11,17.0
578696,85099B,JUMBO BAG RED RETROSPOT,10,2011-11-25 10:02:00,2.08,13985.0,United Kingdom,2011,11,20.8
571328,84913B,MINT GREEN ROSE TOWEL,4,2011-10-17 11:27:00,4.65,12473.0,Germany,2011,10,18.6
572741,23350,ROLL WRAP VINTAGE SPOT ,12,2011-10-25 15:47:00,1.25,14341.0,United Kingdom,2011,10,15.0
561513,22908,PACK OF 20 NAPKINS RED APPLES,1,2011-07-27 15:12:00,1.63,Unknown,United Kingdom,2011,7,1.63
538086,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,8,2010-12-09 14:44:00,2.95,12872.0,United Kingdom,2010,12,23.6
576615,23393,HOME SWEET HOME CUSHION COVER ,2,2011-11-15 16:42:00,3.75,17231.0,United Kingdom,2011,11,7.5
545928,22195,LARGE HEART MEASURING SPOONS,12,2011-03-08 11:59:00,1.65,14407.0,United Kingdom,2011,3,19.8
